"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/05/2000","490370101","1","0.053","ppm","45","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/06/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/07/2000","490370101","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/08/2000","490370101","1","0.054","ppm","46","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/09/2000","490370101","1","0.057","ppm","48","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/10/2000","490370101","1","0.054","ppm","46","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/13/2000","490370101","1","0.056","ppm","47","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/14/2000","490370101","1","0.053","ppm","45","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/15/2000","490370101","1","0.066","ppm","71","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/16/2000","490370101","1","0.064","ppm","64","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/17/2000","490370101","1","0.056","ppm","47","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/18/2000","490370101","1","0.053","ppm","45","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/19/2000","490370101","1","0.044","ppm","37","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/20/2000","490370101","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/21/2000","490370101","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/22/2000","490370101","1","0.05","ppm","42","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/23/2000","490370101","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/24/2000","490370101","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/25/2000","490370101","1","0.045","ppm","38","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/26/2000","490370101","1","0.05","ppm","42","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/27/2000","490370101","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/28/2000","490370101","1","0.044","ppm","37","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/29/2000","490370101","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"09/30/2000","490370101","1","0.049","ppm","42","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/01/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/02/2000","490370101","1","0.051","ppm","43","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/04/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/05/2000","490370101","1","0.049","ppm","42","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/06/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/07/2000","490370101","1","0.051","ppm","43","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/08/2000","490370101","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/09/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/10/2000","490370101","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/11/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/12/2000","490370101","1","0.046","ppm","39","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/13/2000","490370101","1","0.045","ppm","38","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/14/2000","490370101","1","0.047","ppm","40","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/15/2000","490370101","1","0.049","ppm","42","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/16/2000","490370101","1","0.051","ppm","43","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/17/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/18/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/19/2000","490370101","1","0.055","ppm","47","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/20/2000","490370101","1","0.053","ppm","45","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/21/2000","490370101","1","0.048","ppm","41","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/22/2000","490370101","1","0.036","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/23/2000","490370101","1","0.036","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/24/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/25/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/26/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/27/2000","490370101","1","0.034","ppm","29","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/28/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/29/2000","490370101","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/30/2000","490370101","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"10/31/2000","490370101","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/01/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/02/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/03/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/04/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/09/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/10/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/11/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/12/2000","490370101","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/13/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/14/2000","490370101","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/15/2000","490370101","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/16/2000","490370101","1","0.042","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/17/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/18/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/19/2000","490370101","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/20/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/21/2000","490370101","1","0.036","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/22/2000","490370101","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/23/2000","490370101","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/24/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/25/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/26/2000","490370101","1","0.036","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/27/2000","490370101","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/28/2000","490370101","1","0.031","ppm","26","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/29/2000","490370101","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"11/30/2000","490370101","1","0.043","ppm","36","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/01/2000","490370101","1","0.038","ppm","32","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/02/2000","490370101","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/03/2000","490370101","1","0.031","ppm","26","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/04/2000","490370101","1","0.03","ppm","25","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/05/2000","490370101","1","0.035","ppm","30","18","75.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/06/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/07/2000","490370101","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/08/2000","490370101","1","0.027","ppm","23","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/09/2000","490370101","1","0.031","ppm","26","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/10/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/11/2000","490370101","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/12/2000","490370101","1","0.034","ppm","29","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/13/2000","490370101","1","0.035","ppm","30","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/14/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/15/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/16/2000","490370101","1","0.041","ppm","35","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/18/2000","490370101","1","0.037","ppm","31","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/19/2000","490370101","1","0.032","ppm","27","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/20/2000","490370101","1","0.033","ppm","28","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/21/2000","490370101","1","0.032","ppm","27","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/22/2000","490370101","1","0.032","ppm","27","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/23/2000","490370101","1","0.026","ppm","22","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/24/2000","490370101","1","0.026","ppm","22","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/25/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/26/2000","490370101","1","0.042","ppm","36","22","92.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/27/2000","490370101","1","0.04","ppm","34","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
"12/28/2000","490370101","1","0.039","ppm","33","24","100.0000","44201","Ozone","","","49","Utah","037","San Juan","38.4583200009191","-109.82126"
